Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
828,-1,-9,85,-9,50,-9,30,30,70,85,30,50,-9,-9,-9,15,85,85,85,-9,1
829,-1,70,70,70,70,85,40,60,60,50,40,50,50,85,85,15,40,60,70,60,1
830,-1,50,15,20,25,50,60,75,40,50,10,50,50,75,50,75,90,50,50,15,2
831,-1,50,50,30,40,50,85,90,40,50,40,50,50,50,50,40,90,50,90,30,2
832,-1,100,25,0,50,45,50,100,50,25,65,75,0,100,100,65,100,0,70,0,2
833,-1,0,100,100,85,100,16,0,70,100,17,40,100,0,85,0,71,100,100,100,1
834,-1,0,90,90,70,100,50,30,80,100,30,40,70,70,100,10,100,100,100,80,1
835,-1,13,61,37,43,53,23,24,68,79,16,16,51,31,74,13,61,75,85,42,3
836,-1,70,50,70,85,100,50,15,70,85,50,50,50,70,50,50,100,70,100,85,1
837,-1,100,38,2,70,65,39,91,41,61,40,82,1,98,42,61,71,40,40,15,2
838,-1,87,12,16,17,80,91,92,72,71,62,82,81,94,93,95,97,64,86,2,2
839,-1,0,100,100,60,50,0,0,40,100,15,50,50,40,100,0,70,100,100,100,1
840,-1,62,61,70,71,98,71,84,84,60,85,83,70,99,71,60,85,41,98,76,1
841,-1,42,57,16,17,-9,80,66,53,51,12,61,51,85,52,52,92,51,72,2,2
842,-1,50,15,15,16,50,50,98,50,40,41,50,15,85,85,60,70,2,50,16,2
843,-1,43,52,73,41,90,18,73,74,87,20,52,72,85,73,50,72,87,99,43,1
844,-1,50,30,30,70,50,60,85,30,50,60,50,30,100,50,60,100,0,70,0,2
845,-1,40,0,0,40,100,50,70,50,50,0,60,30,100,50,50,100,50,85,0,2
846,4,17,100,64,53,72,59,49,42,99,53,51,55,31,65,52,72,87,87,84,1
847,-1,50,15,15,15,50,60,70,40,50,0,70,40,60,50,70,70,50,100,15,3
848,-1,-9,68,-9,-9,64,-9,-9,-9,77,62,64,-9,83,88,-9,85,77,85,82,1
849,-1,39,84,71,70,50,41,60,50,61,40,51,85,61,96,50,71,50,85,71,1
850,-1,31,16,16,16,85,75,100,95,50,50,51,50,100,100,85,100,50,71,1,2
851,-1,60,85,70,30,85,85,40,85,60,85,85,60,60,70,60,70,50,100,100,1
852,-1,85,70,60,60,85,60,40,100,100,40,40,85,100,100,50,85,50,100,85,1
853,-1,62,18,40,32,77,57,79,29,70,29,60,71,100,97,77,94,70,84,16,2
854,-1,0,100,100,70,100,0,0,60,100,0,40,100,40,100,0,70,100,85,100,1
855,-1,35,85,100,85,95,45,51,60,100,80,80,95,40,100,-9,95,100,100,100,3
856,-1,0,60,85,70,50,60,40,60,85,15,60,60,50,60,0,60,60,85,40,1
857,-1,70,60,70,87,85,71,40,85,85,40,85,85,85,86,30,85,85,85,30,1
858,-1,85,50,0,70,50,40,60,40,50,30,70,0,85,50,60,100,30,70,0,2
859,-1,40,70,48,85,70,40,61,70,85,70,72,70,71,85,50,100,52,85,1,2
860,-1,40,30,15,40,60,50,70,40,60,15,40,30,60,60,60,85,70,40,0,2
