Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
2187,7,3,-1,1,4,1,2,85,1,9,9,5,3,1,1,1,-1,1,2,3,21,-1,85,85,85,60,85,70,60,60,70,40,70,85,85,70,40,85,70,70,85
2188,7,3,1,1,1,2,8,35,1,14,10,1,-1,1,1,1,-1,1,1,2,19,-1,40,85,90,80,85,30,30,80,100,40,50,85,70,100,0,60,90,90,75
2189,7,1,-1,1,4,2,8,59,1,13,13,1,3,1,1,1,-1,1,1,2,27,-1,0,100,30,30,60,60,40,60,50,60,50,40,40,40,40,85,50,100,50
2190,5,3,-1,1,7,1,5,43,1,12,16,1,3,5,2,1,-1,1,1,2,1,-1,50,30,0,0,50,50,100,40,50,30,50,0,100,100,50,100,50,50,0
2191,7,3,-1,1,4,1,8,46,2,13,13,1,3,1,1,1,-1,1,1,2,24,-1,85,85,85,0,85,40,60,0,85,60,85,85,85,85,70,85,85,85,85
2192,7,3,4,1,5,1,1,45,-9,9,-1,1,3,1,1,1,-1,2,2,1,15,-1,100,1,80,100,100,100,80,100,8,100,10,80,100,100,100,90,10,90,100
2193,7,3,1,1,99,1,2,63,1,10,12,1,3,2,1,1,-1,1,1,2,21,-1,100,70,15,50,85,50,15,50,0,0,15,50,100,85,50,0,1,100,70
2194,3,3,2,1,6,2,7,32,1,14,10,1,-1,1,1,1,-1,1,1,2,20,-1,40,30,0,70,30,30,70,50,0,50,60,70,40,50,0,30,0,50,40
2195,7,2,-1,1,6,1,5,63,1,13,14,1,3,6,1,1,-1,1,1,2,25,-1,60,50,15,40,70,85,100,60,50,60,50,30,85,85,85,85,50,60,0
2196,7,3,-1,1,1,2,8,34,6,14,-1,1,-1,1,1,1,-1,1,1,2,12,-1,0,96,85,71,50,1,16,55,100,17,31,85,70,80,0,60,99,100,95
2197,7,2,1,1,2,1,4,76,1,14,13,1,-1,1,1,1,-1,1,1,4,20,-1,40,70,70,100,85,40,50,70,70,70,50,70,85,85,50,85,50,85,100
2198,7,1,-1,1,4,1,4,60,1,15,12,5,3,1,1,1,-1,1,1,2,28,-1,20,0,0,20,85,50,85,50,85,20,85,30,85,60,85,85,80,85,0
2199,4,4,5,1,2,2,8,24,6,10,-1,1,2,6,1,1,-1,1,1,1,5,-1,40,100,70,60,100,30,0,40,100,40,50,100,70,100,50,40,100,100,100
2200,6,4,2,1,99,2,1,86,1,9,10,5,3,1,1,1,-1,2,-1,3,9,-1,50,50,40,50,50,50,50,50,50,30,50,40,50,50,40,85,50,70,50
2201,3,4,-1,1,99,2,1,35,1,9,9,1,-1,3,3,1,-1,1,1,2,24,-1,50,50,50,85,70,50,85,50,50,60,50,50,50,50,50,85,50,60,50
2202,3,4,-1,1,4,1,2,37,4,9,9,1,-1,1,1,1,-1,1,1,1,11,-1,85,50,50,50,70,60,60,60,100,60,15,50,85,85,50,100,100,50,15
2203,5,1,2,1,6,1,7,42,4,13,-1,1,3,5,2,1,-1,1,1,2,14,-1,50,40,15,50,50,60,85,60,30,60,50,50,50,50,60,85,30,85,0
2204,4,3,-1,1,3,2,8,34,1,13,15,1,3,1,1,1,-1,1,1,2,27,-1,30,60,50,40,70,30,50,60,70,30,30,60,70,70,15,70,70,100,70
2205,6,3,4,1,99,2,5,45,1,10,10,1,3,1,1,1,-1,1,1,2,22,-1,50,50,50,55,65,40,50,50,50,50,60,50,50,50,50,85,44,60,30
2206,7,3,2,1,5,1,1,53,4,10,-1,1,1,1,1,1,-1,1,1,1,8,-1,85,60,60,60,85,60,60,70,70,40,85,60,85,85,40,100,70,100,40
2207,7,1,2,1,6,1,2,72,1,14,14,5,3,1,1,1,-1,1,1,3,26,-1,86,16,1,60,70,71,98,84,26,16,70,2,99,85,31,98,2,99,0
2208,7,1,4,1,4,2,8,60,1,10,9,1,3,2,1,1,-1,1,-1,2,27,-1,16,41,50,50,60,41,30,51,51,30,41,51,51,51,16,41,50,60,41
2209,6,2,1,1,99,1,2,60,1,13,12,5,3,1,1,1,-1,1,1,2,20,-1,100,100,50,70,100,60,50,60,100,40,100,60,100,100,50,85,100,100,40
2210,7,2,-1,1,2,2,2,51,4,14,-1,1,3,1,1,1,-1,1,1,2,15,-1,44,79,86,72,80,50,64,59,75,67,64,63,65,75,40,74,77,78,78
2211,7,3,1,1,4,2,8,52,1,10,10,1,2,1,3,4,4,1,2,1,19,-1,15,40,60,30,100,60,85,50,50,0,15,70,85,70,60,85,0,100,40
2212,4,3,1,1,2,2,8,30,1,13,10,1,2,1,1,1,-1,1,1,1,17,-1,15,76,76,75,57,30,30,27,95,33,42,75,13,98,15,76,96,98,70
2213,7,2,1,1,2,2,8,27,2,10,10,1,-1,1,1,1,-1,1,1,1,19,-1,0,85,100,60,50,15,30,60,60,15,50,50,30,60,30,60,60,60,50
2214,7,2,-1,1,2,2,4,69,1,14,16,5,-1,1,1,1,-1,1,1,3,24,-1,15,100,80,60,60,30,40,60,80,30,40,50,60,85,0,70,60,85,90
2215,7,3,2,1,99,2,5,49,1,9,9,1,2,1,1,1,-1,1,1,2,15,-1,50,50,60,40,15,60,50,50,50,30,50,0,60,50,40,70,40,60,15
2216,7,3,1,1,99,1,7,66,4,8,-1,1,3,1,1,1,-1,1,1,1,14,-1,50,50,50,85,70,40,50,70,50,40,50,30,85,50,60,70,15,70,30
2217,5,3,-1,1,2,1,5,26,6,10,-1,1,2,2,1,1,-1,1,1,4,21,-1,70,100,85,100,70,40,40,50,100,40,50,100,100,100,60,30,100,60,100
2218,7,2,1,1,4,1,5,61,1,14,10,1,1,1,1,1,-1,1,1,3,18,-1,85,40,40,40,85,40,60,60,60,40,40,30,100,70,40,85,70,50,0
2219,7,3,-1,1,2,2,4,29,1,14,15,1,3,1,1,1,-1,1,1,1,27,-1,15,100,85,85,50,40,15,85,100,60,50,100,100,100,0,70,100,100,85
2220,5,2,1,1,2,1,7,60,1,14,14,1,4,1,1,1,-1,1,1,3,28,-1,0,100,50,40,85,30,0,40,85,0,50,70,70,100,0,50,50,85,50
2221,4,2,4,1,5,1,5,37,1,12,11,1,2,1,1,1,-1,1,1,2,21,-1,50,50,0,60,100,50,85,100,100,0,50,40,100,100,60,100,50,100,0
2222,7,3,1,1,2,2,1,43,4,13,-1,1,1,2,3,4,4,1,1,2,7,-1,15,85,70,70,70,30,15,40,100,40,70,85,70,85,0,70,70,100,100
