MUD,,,,,,,,,,Crime Rate
3.9,13.2,338.2,78.4,4534,39,9.8,31.3,1,30.6,6
2.2,6,391.2,115.9,2220,19.7,14.2,34.8,2,48.3,2
2.7,10.5,325.6,85.3,2933,29.8,9,29.8,1,31,11
0,0,446.8,42.3,917,48.5,8.6,36.5,1,51,7
6,10.4,605.8,39.4,11831,39.7,11.9,27.3,1,52,7
4.2,8.2,220.8,62.4,4577,35.2,7.4,21.5,1,19.7,4
4.3,12.4,225.5,60,21539,46.3,10.3,15.6,2,23.5,7
4.3,16.2,211.8,81.9,27132,45.2,11.6,18,2,29.7,5
3.3,8.8,754.2,97.9,4694,32.5,15.3,33.7,1,42.9,13
4.3,9.6,340,92.5,4435,46,12.7,33.2,2,29,5
3.6,10,786.6,62.6,40340,56.6,9.4,31.1,6,51.3,15
2.9,12.3,662.3,44.7,2505,35.4,9.9,26.9,1,28.4,6
4.1,4.5,148.3,41,4137,29.8,10.5,27.1,2,30.7,9
4.7,5.6,462.7,70.9,4008,45.6,8.2,34.4,2,38.2,3
4.6,13.5,442.7,43.2,8616,66.7,7.6,15,2,25.6,4
3.5,18.7,811.7,28.9,13967,59.8,8.9,23.7,3,34.5,4
5.3,10.9,607.1,84.3,5224,38.4,11.5,44.5,2,53.8,11
2.1,0,438.1,85.7,7018,31.7,11.4,21.8,1,26.1,6
4.1,3.5,510.3,104.3,1944,33.7,10.9,37.7,2,59.2,23
3.7,16.5,321.2,60.8,12962,60.9,8.7,16.9,4,29.4,5
3.9,7,434.8,124.6,2585,32.2,8.9,34.8,1,42.5,12
3.6,14.1,400.2,56.2,33130,49.5,10.5,19.1,6,27.6,4
4.4,13.5,92.3,55.3,17929,60.2,8.4,17,2,28.4,4
4.1,7.7,479.4,58.8,2873,30.4,10.6,29.2,2,46.7,8
3.2,16,648.7,58.8,69758,62.5,8.3,21.6,13,45.1,15
2,0,94.5,34.3,5590,74.8,15,16.4,1,19.9,3
5.5,8.9,134.3,91.2,7584,34,13,23.1,3,43,3
2.9,18.5,153.9,34.9,63885,66.9,8.6,8.7,7,20.8,2
3.5,16.4,705.1,27.8,27267,65.9,7.3,26.2,4,43.6,7
0,0,650,76.3,624,31.7,8.5,50.4,1,64.5,4
3.8,9.7,678.8,62.1,86580,51,11.3,20.8,6,48.4,12
2.9,0,594.9,103,1758,32.7,10.4,33.3,1,47.2,8
2.9,16.7,288,37.6,218688,71.2,8.8,11,15,26.3,5
4.1,18.4,520.6,100.8,11324,36.7,14.8,28.2,3,35.6,10
4.2,9.1,318,96.9,12007,35.1,8.8,29.8,2,40.3,13
2.5,10.9,219.7,27.4,29225,68.2,6.8,8.7,4,21.9,2
2.8,11.5,716.5,82.8,4330,43.1,12.4,31.2,3,39.8,8
3,16.4,245.7,49.6,36262,57.1,9.5,13.4,4,25.7,4
3.6,5.6,295.8,35,3423,44.2,9.6,24.9,1,28.5,7
3.7,7,852.8,104.8,5253,33.6,11.7,43.9,1,61.5,12
5,7.4,148.7,38.1,3853,51.6,9.8,17.4,1,34.2,2
3.4,0,104.5,60.9,5794,40.3,9.6,16.2,1,22.7,2
3.2,7,839.6,80.8,7284,39.7,12.1,37,3,47.5,8
3,14.8,647.3,47.2,253116,65.7,9.6,25.4,22,45.5,13
4.1,15.1,462.3,71.2,5108,34.6,10.4,29.3,4,39.5,6
3,7.5,649.5,92.9,3409,27.8,9.6,34.2,1,54,6
3.1,12.7,1075.7,75.4,24210,58.1,10.2,35.9,3,57.8,8
3.7,10.6,366.6,47,38105,58,10.4,14.7,3,35.6,7
4.5,10,870.8,76.1,2689,40.3,10.1,38.3,1,42.8,8
0,0,320,33.6,1603,22,7,36.7,0,40.7,7
2.8,16.7,169,42.2,14701,47,7.9,13.8,3,20.8,3
4.3,8.4,375.7,63.4,5089,32.8,11.7,26.5,2,43.1,3
4.9,9.8,499.5,85.1,5610,34,10.3,37.1,3,39.1,7
6.9,9.3,910.2,94,2764,33.7,8.5,34.3,1,40.4,5
5.2,13.5,79.6,69.5,4875,43.2,10.1,25.9,3,26.2,5
2.4,18.2,213.2,15.7,22516,75.8,8.1,6.5,4,17.8,3
3.9,10.2,301.1,66.6,25106,47.2,10.2,25.3,6,37,6
2.6,18.4,54.1,32.9,50747,75.7,7.9,6.4,3,14.7,2
4.8,9.4,219.9,68.9,5306,38,11.6,26.4,3,31.2,7
2.9,16.5,528.4,47.7,335167,70.2,9.8,19.7,36,41.2,15
4.2,8.1,143.7,95.5,7504,35.4,9.9,25.9,3,33.9,6
0,0,357.7,54.3,734,32.3,11,19,1,23.8,11
2.7,14.3,421.7,72.3,18605,54.5,8.2,26.4,3,39.3,7
5.2,11,183.7,96,15350,38.2,12.6,18.5,2,24.8,5
3.3,7.5,354.4,90.8,6268,36.2,9.5,32.9,1,42,7
3.9,10,460.5,64.4,3569,30.1,10.8,31.6,2,50.4,7
2.9,15,222.9,39.3,245303,64.3,8.7,13.5,15,25,5
3.1,7.1,141.7,71.8,10841,47.3,9.6,19.6,3,28,3
3.1,11.5,187.2,73.4,53697,43.2,9,19.7,8,27.6,4
0,0,773.3,73.4,2340,29.1,18.7,39.8,1,68.9,12
3.9,14.1,162.2,74.3,7458,40.8,11.5,26.5,3,31.5,7
2.5,14.7,268.3,31.3,7160,63.6,7,12,5,26.4,5
3.4,12.7,247.1,51.7,5918,39.2,13,23.2,1,32.7,6
0,0,200.4,57.4,3155,34.2,12.4,24.5,1,27.1,4
2.8,11.7,390.6,41.6,56698,62.1,9.3,11.7,5,26.2,4
2.7,12.3,393.5,46.6,36154,64.1,6.9,16.3,6,33.1,4
2.7,5.3,606,58.6,2939,22.7,14.8,32.5,1,39.5,7
3.7,7.6,222.3,73,17005,44.9,10.5,15.1,5,26.8,7
5.4,0,354,57,3650,31.6,12,23.7,1,32.4,1
3.7,0,363.3,105.5,3451,37.7,13.4,29.5,2,30.8,6
3.1,7.5,754.1,79.2,3896,35.6,14,32.9,3,54.5,11
4.8,3.4,655.2,77.7,2035,45,19,39.3,1,27.3,13
3.8,0,502.6,76.8,2506,28.9,11.8,32.1,1,42.8,8
5.1,15.2,141.6,28.3,7337,52,8.3,16.1,1,28.5,4
4,0,370.6,48.4,4237,36.4,13.1,22.3,2,41.3,4
3.4,12.5,459.1,71.9,2310,45.4,8.6,31.8,1,48.9,6
3.7,9.4,689.7,74,11967,44.4,10.8,31,3,42.5,7
3.6,12.1,201.4,29,9509,56.1,7,12.7,1,25.8,2
2.6,19.8,918.1,76,17045,58.7,7.9,20,3,38.4,8
1.5,5.4,309.6,42.8,1762,39.6,10.6,27.1,1,41.2,5
4.2,10.9,314.4,59.2,3248,50.3,6,33.1,1,44.6,4
2.8,14.1,873,62.9,26363,59.9,8.1,24.1,5,36.5,5
4.3,9.8,133.1,24.9,7255,49.7,11.3,20.3,1,32.6,5
2.8,3.1,491.8,75.9,5278,40.8,11,27.3,1,53.1,9
5.1,6.8,384.1,69.2,2450,42.2,9.7,31.1,2,42.3,10
2.5,13.7,584.3,62.9,3466,35.8,12.1,35.2,3,54.1,5
3.6,10.6,262.4,64.1,7588,35,8.3,21.3,2,35,4
3.4,0,287.2,80.4,1686,25.6,9.6,36.4,2,37,8
4.3,0,429.1,69.3,5503,33.6,13.1,28.9,4,46.8,6
1.9,0,549.7,55.5,1546,41.1,8.2,40.9,1,38.7,2
2.9,8,473.6,84.5,6629,27.9,9.7,34.2,2,52,7
3.5,0,233.6,40,6242,44,8.8,18.5,1,31.1,6
3.9,9.9,403.1,59.9,2557,42.6,8.7,30.4,0,40.5,7
3.2,10.3,329.9,45.3,4537,51.2,9.6,19.8,3,30.4,1
6.2,6,151.3,104,12165,23.5,12.6,19.9,1,22,2
4.2,17.5,748.2,71.8,48118,60.4,8.8,26.2,7,48.7,11
3.2,12.6,461.7,62.1,28469,53.5,11.7,17.8,4,36.2,6
3,13,96.2,18.6,7611,72.5,6.1,8.2,1,19.9,3
4.7,0,233.9,44.3,3546,41,8.1,19.7,1,22.1,5
4.1,12.9,136,38.7,42729,55.1,9.7,9.4,3,25.7,4
3.6,6.1,991.2,63.9,6382,47.7,10,28.1,2,40.9,4
3.3,14.2,80.2,66.9,7809,40.6,10.1,20.4,3,23.4,3
3,14.8,264.8,91.3,4640,43,9.1,27.8,2,20.5,3
0,0,165.1,46,4470,43.1,10.6,14.6,2,24.1,4
4.7,8.2,335.6,97.3,11150,41.6,10.4,23.4,2,37.1,10
4.8,10.3,592.6,65.4,2837,44.2,7.5,25.1,1,41.9,4
4.1,13.7,343.4,64.4,4679,47,10.5,27.2,1,43,5
0,0,554.9,89.3,626,36.9,11.2,36.3,0,41.4,11
3.8,10.8,115.1,60.9,3845,48.7,10.3,25.7,2,21.6,2
2.8,5.7,544.6,54.1,1502,54.9,11.7,39,1,51.4,6
3.6,16.7,908.3,71.6,52223,55.7,9.8,36.8,5,52.8,10
3,14.7,392.9,46,22117,56.2,10.7,19,3,33.4,5
0,0,564,76,1220,47.2,12.4,24.3,1,31.1,0
3.4,8.1,581.5,58.9,3620,40.6,13.7,29.8,1,36.2,10
2.7,6,737,74.6,1863,45.2,10.4,37.7,1,60.4,5
3.3,10.4,497.6,86.9,17218,44.8,13.6,26.7,2,45.7,5
4.7,7.1,247.1,65.4,6000,42.5,10.6,24.3,1,29,4
0,0,857.3,80.5,1090,39.7,10.3,40.2,0,56.9,23
3.2,16.9,1032.4,70.2,8208,48.3,12.6,40.8,3,46.7,7
3.8,0,514.5,67.2,1603,40.7,9.1,32.5,1,21.5,20
0,0,858.8,71.3,496,19.6,13.6,38.8,0,77.2,15
5.4,15.9,370.7,94.6,7345,28.7,8.6,31.8,3,34.6,12
5.1,0,273.8,60.8,2181,28.7,11.5,33.4,2,45.6,8
5.2,8.1,501.7,84.1,4542,24.5,13.6,33.8,2,37.6,15
4.5,0,825.8,89.2,2439,38,10,38.9,1,59.6,7
2.5,10.4,624.8,72.6,10987,46,8.8,27.9,5,42.7,5
4.5,7.4,848.4,80.8,10954,47.5,10.7,28.9,1,42,13
3.3,11.8,569.4,83.1,7046,43.1,9.6,34.7,2,43.7,9
2.4,10,126.8,27.4,2085,40,8.3,23,2,29.6,4
3.6,9.1,494.6,78.3,1973,32.4,11.1,39.2,1,32.6,0
3.3,10,661.7,80.5,16866,49.9,12.7,25.8,4,41.1,5
7.6,7.9,639.4,91.1,2373,26.2,13.3,41.4,2,50.2,11
0,0,390,59.7,2764,39.3,10.5,29.7,2,36.4,7
2.6,7.9,103,49.1,4341,54.8,9.2,22.6,1,13.2,2
4.6,0,512.2,73.9,6971,38.3,12,25.4,1,39.9,6
3.9,9.9,185.2,78,17504,46.5,10.4,21.3,3,32,5
3.1,11.9,256.4,54.4,23455,45.3,10,16.9,3,23,3
4.7,10.4,783.2,90.7,9323,40.6,10.5,31.2,2,35.5,9
1.7,0,872.7,71.2,1197,37.3,17.5,35.7,1,51.3,2
2.6,0,837.9,55.6,5375,38.4,13.1,30.2,2,46.3,6
4.3,7.4,328.7,83.2,8121,42.1,11.4,28.4,2,29.3,11
0,0,323.5,70.6,534,34.3,9.4,29.4,1,68,13
3.9,12,319.9,83.6,2145,28.2,9.3,35.6,1,35.8,2
4.8,4.9,138.3,53.8,6101,48.4,9.5,23.1,2,22.7,4
3.8,7,264.3,110.9,25734,39.7,12.4,19.8,5,29.9,5
3.3,3.6,571.4,79.7,2721,35.2,11.4,35.6,1,42.6,5
5.2,0,496,61.5,2290,33.4,11.5,31.9,1,54.4,3
6.7,2.2,518.7,68.8,2407,38.4,10.6,27,2,47.3,1
2.8,8.8,319.2,51.9,5162,37.4,9.8,31.5,1,46,6
3.8,11,410.2,79.8,4783,35.35,10.7,35.7,5.3,30.6,0
2.8,3.9,464.5,106.5,2235,19.33,16.2,58.1,14.93,48.3,0
2.2,11.3,402.2,90.1,3113,31.22,10.3,35.5,1.38,31,0
0,0,367.9,32.7,706,42.63,10,40.6,47.26,51,0
5.4,13.3,640,41.5,11429,43.7,15.7,34.5,0.04,52,765
4.2,7.3,161.1,59.5,4750,37.81,7.3,24.7,0.53,19.7,704
4.3,15.1,224.1,55.1,20767,50.03,10.3,17.7,18.16,23.5,488
4.5,16.6,186.5,75.8,27991,42.59,11.7,21.9,20.58,29.7,391
3.3,7.2,680.5,98.7,4576,34.83,14.4,41.5,0.61,42.9,0
4.2,9.5,199.3,94.6,4875,48.27,12,33.7,4.68,29,311
3.6,11.1,711.9,62.6,39957,57.95,10.6,38.7,10.02,51.3,617
3.3,10.1,559.8,43,2897,27.65,12.2,27.1,0.73,28.4,339
4.4,4.2,187,46.3,4487,29.28,11.6,32.4,39.96,30.7,292
4.7,6.3,383.6,67.2,3807,47.1,8.8,38.4,33.1,38.2,951
4.5,8.9,311.2,40.9,8189,65.42,8.3,16.7,22.45,25.6,193
3.4,15.2,985.8,32.7,15235,59.35,10.1,31.7,1.9,34.5,658
5,10.6,620.3,77.1,5565,38.47,11,47,38.35,53.8,0
2.1,0,368.5,80.1,6774,33.3,11.8,23.5,24.68,26.1,274
0,0,510.3,89.9,2072,32.05,10.6,41,9.58,59.2,158
3.6,15.6,346.3,58.8,13595,61.43,9.9,21.3,1.44,29.4,551
3.1,5.3,623.8,119.6,2584,33.67,9.8,38.2,0.93,42.5,0
3.6,11.5,399.3,54.2,30370,48.41,11.1,24.3,22.58,27.6,764
4.8,12.4,122.6,55.1,17329,61.26,8,20.6,18.29,28.4,173
5,6.6,396.4,62.1,3483,32.62,11.5,32.1,6.32,46.7,219
3,17,596.1,56.5,70591,62.21,9.1,27.5,11.97,45.1,599
0,0,87.2,28.7,4336,77.1,16,20.6,37.98,19.9,0
6.1,5.6,197.8,83.7,7302,39.26,12,28.8,0.02,43,213
2.8,17.4,132.5,33,63073,68.65,8.9,11.7,9.53,20.8,87
3.5,15.1,678.1,28.4,30838,65.81,7.9,35.6,20.16,43.6,423
0,0,495.2,63.6,606,26.24,8.7,58.3,43.78,64.5,147
3.8,9.4,620.7,60.4,82732,51.92,12.4,34.1,12.66,48.4,631
2.2,0,665.7,94.4,1781,35.88,11.6,34.9,5.3,47.2,216
2.9,16.5,287.8,36.4,213480,71.75,9.7,19.7,6.73,26.3,322
3.6,14.8,449.1,99.3,11521,37.37,17.1,39.3,2.81,35.6,0
4.7,8.8,251.8,95.8,11974,36.14,9.8,35.3,3.02,40.3,0
2.6,10.7,167.2,27,32041,66.95,7,10.6,8.98,21.9,115
2.8,13.7,469.7,80.5,4488,44.52,13,36.6,0.76,39.8,455
3.2,14.9,203.4,47.4,35918,59.21,9.8,16.9,15.38,25.7,210
4.4,6.4,135.9,34,3400,40.97,10.7,29.8,32.24,28.5,265
3.5,4.9,789.6,104.7,5411,37.31,13.4,47.4,1.21,61.5,669
5.6,0,92.9,35.4,3923,50.73,8.8,22.3,27.65,34.2,244
2.7,0,100,55.2,5667,47.43,10.1,21.7,22.65,22.7,92
3.3,10.1,704.3,79.7,7062,41.23,13.8,38.8,2.66,47.5,536
3,14.3,559.6,47.6,227539,67.8,10.4,26.5,5.72,45.5,746
4.2,13.1,457.3,71.6,5639,38.57,11.9,33.3,0,39.5,575
3,6.4,493.6,90.7,3797,29.6,11.4,34.9,12.27,54,622
2.9,11.3,795.8,74.5,23840,57.58,12,49.2,25.96,57.8,888
3.8,10.7,391.6,44.8,39649,59.65,11.1,19.1,13.73,35.6,280
4.1,7.9,409.8,75.9,2497,40.57,9.7,40.3,2.97,42.8,579
0,0,123.1,39.3,1309,28.19,7.1,40.6,59.03,40.7,239
2.8,17,149.8,40.4,14410,49.2,8.7,15.1,23.06,20.8,0
4.7,8.6,361.1,64.1,4880,33.2,13.6,37.8,1.49,43.1,438
4.2,8.7,582.7,81.9,5631,37.86,11.6,43.1,10.9,39.1,122
