Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
2161,7,3,0,1,99,2,8,51,3,11,0,1,0,1,1,1,0,2,0,2,11,0,50,50,50,50,50,50,50,85,85,70,50,50,85,84,50,85,50,85,50,1
2162,7,1,1,1,1,1,2,46,6,13,0,5,3,2,1,1,0,1,1,2,19,0,100,85,100,50,100,60,85,50,100,30,70,100,85,100,40,85,100,100,100,1
2163,7,2,1,1,3,1,2,27,6,10,0,4,3,2,1,7,2,1,1,4,2,0,67,72,64,54,87,75,63,69,74,51,68,86,86,71,69,48,91,99,84,1
2164,7,1,2,1,3,1,1,55,1,14,14,4,0,6,2,1,0,1,1,2,28,0,40,50,60,50,60,60,40,60,50,15,50,60,70,70,1,70,50,85,50,1
2165,7,1,4,1,6,1,4,45,4,15,0,1,3,5,3,1,0,1,1,1,1,0,70,15,30,70,85,60,70,85,40,60,70,70,100,100,50,70,30,70,60,1
2166,5,3,2,2,6,2,8,19,6,9,0,1,2,1,1,1,0,1,1,4,21,0,50,50,1,30,50,50,100,50,100,1,50,50,100,100,100,100,50,100,1,1
2167,7,2,1,1,3,2,8,40,1,13,10,7,3,1,1,1,0,1,1,2,24,0,40,45,45,50,70,35,45,50,80,55,40,60,40,70,50,55,80,60,30,1
2168,5,3,4,1,4,1,1,56,1,13,13,1,0,1,1,1,0,1,1,2,12,0,50,50,50,50,50,50,50,85,50,50,50,50,85,50,0,85,40,50,50,1
2169,7,3,0,1,99,1,2,45,1,10,10,1,0,1,1,1,0,1,1,1,14,0,69,1,30,46,66,46,98,41,52,60,50,67,98,63,0,82,46,64,27,1
2170,7,3,0,1,6,1,4,81,3,12,0,1,2,1,1,1,0,1,1,3,1,0,60,60,60,85,85,15,85,70,70,70,70,15,100,70,40,85,70,100,60,1
2171,7,3,0,1,4,1,4,53,4,10,0,1,3,1,1,1,0,1,1,3,18,0,50,50,55,52,51,31,51,50,51,31,47,51,50,51,30,50,50,51,49,1
2172,7,1,2,1,7,1,2,52,1,10,11,1,3,1,1,1,0,1,1,3,21,0,70,40,70,30,100,100,100,60,60,60,85,70,100,85,100,100,50,85,15,1
2173,7,1,0,1,1,2,8,67,1,16,16,1,0,1,1,1,0,1,1,2,25,0,47,98,80,79,87,41,40,87,98,71,50,88,92,99,4,93,89,77,50,1
2174,7,1,1,1,2,2,8,52,1,14,13,1,3,2,1,1,0,1,1,2,0,0,29,57,77,50,71,45,2,24,60,1,23,51,62,51,4,31,52,78,86,1
2175,7,3,0,1,7,1,5,31,6,13,0,1,0,1,1,1,0,1,1,3,14,0,59,51,1,41,61,70,100,51,1,41,50,1,100,1,59,60,1,15,16,1
2176,7,3,0,1,2,2,1,33,1,14,13,1,2,1,1,1,0,1,1,2,21,0,30,60,70,85,70,30,30,70,85,50,30,60,50,70,15,85,85,85,40,1
2177,4,4,0,1,4,1,1,25,6,13,13,4,2,1,1,1,0,1,1,4,19,0,87,40,33,82,81,62,32,50,78,40,69,50,100,87,50,71,70,100,15,1
2178,7,3,0,1,2,2,8,35,1,16,16,1,0,1,1,1,0,1,1,2,27,0,15,85,70,50,85,50,30,60,50,15,50,50,50,50,15,50,50,85,50,1
2179,5,2,0,1,4,2,8,48,1,13,13,1,0,1,1,1,0,1,1,2,25,0,2,84,61,17,86,71,60,69,100,61,61,42,16,50,52,61,86,84,85,1
2180,6,2,0,1,5,1,4,46,1,13,13,1,0,1,1,1,0,1,1,2,21,0,85,1,30,30,85,85,85,70,85,30,85,85,100,100,100,100,85,85,1,1
2181,7,1,4,1,4,1,5,30,6,13,11,1,2,5,3,4,0,1,1,1,24,0,40,50,70,70,100,50,70,60,50,40,85,70,70,70,40,50,85,85,70,1
2182,2,3,0,1,5,1,5,27,1,13,9,1,3,1,1,1,0,1,1,2,20,0,70,8,15,25,59,50,75,69,49,60,61,59,71,55,52,72,42,56,1,1
2183,7,4,0,1,99,1,5,57,1,9,10,7,0,1,1,1,0,1,0,3,16,0,50,50,50,60,70,50,50,60,50,60,50,50,85,60,60,70,50,70,50,1
2184,7,3,0,1,6,2,8,77,1,9,10,5,3,1,1,1,0,1,1,3,15,2,50,50,30,30,15,30,60,70,50,50,60,30,70,60,40,100,50,100,15,1
2185,7,3,0,1,5,1,6,24,6,13,0,1,0,1,1,1,0,1,1,4,28,0,50,60,85,70,100,70,100,85,100,70,85,100,100,100,60,85,100,100,85,1
2186,6,2,0,1,6,1,2,79,4,16,0,5,0,1,1,1,0,1,1,1,3,0,70,40,15,30,50,40,85,40,50,40,30,70,100,50,60,70,50,60,40,1
2187,7,3,0,1,4,1,2,85,1,9,9,5,3,1,1,1,0,1,2,3,21,0,85,85,85,60,85,70,60,60,70,40,70,85,85,70,40,85,70,70,85,1
2188,7,3,1,1,1,2,8,35,1,14,10,1,0,1,1,1,0,1,1,2,19,0,40,85,90,80,85,30,30,80,100,40,50,85,70,100,1,60,90,90,75,1
2189,7,1,0,1,4,2,8,59,1,13,13,1,3,1,1,1,0,1,1,2,27,0,1,100,30,30,60,60,40,60,50,60,50,40,40,40,40,85,50,100,50,1
2190,5,3,0,1,7,1,5,43,1,12,16,1,3,5,2,1,0,1,1,2,1,0,50,30,1,1,50,50,100,40,50,30,50,1,100,100,50,100,50,50,1,1
2191,7,3,0,1,4,1,8,46,2,13,13,1,3,1,1,1,0,1,1,2,24,0,85,85,85,1,85,40,60,1,85,60,85,85,85,85,70,85,85,85,85,1
2192,7,3,4,1,5,1,1,45,0,9,0,1,3,1,1,1,0,2,2,1,15,0,100,1,80,100,100,100,80,100,8,100,10,80,100,100,100,90,10,90,100,1
2193,7,3,1,1,99,1,2,63,1,10,12,1,3,2,1,1,0,1,1,2,21,0,100,70,15,50,85,50,15,50,1,1,15,50,100,85,50,1,1,100,70,1
2194,3,3,2,1,6,2,7,32,1,14,10,1,0,1,1,1,0,1,1,2,20,0,40,30,1,70,30,30,70,50,1,50,60,70,40,50,1,30,1,50,40,1
2195,7,2,0,1,6,1,5,63,1,13,14,1,3,6,1,1,0,1,1,2,25,0,60,50,15,40,70,85,100,60,50,60,50,30,85,85,85,85,50,60,1,1
2196,7,3,0,1,1,2,8,34,6,14,0,1,0,1,1,1,0,1,1,2,12,0,1,96,85,71,50,1,16,55,100,17,31,85,70,80,1,60,99,100,95,1
2197,7,2,1,1,2,1,4,76,1,14,13,1,0,1,1,1,0,1,1,4,20,0,40,70,70,100,85,40,50,70,70,70,50,70,85,85,50,85,50,85,100,1
2198,7,1,0,1,4,1,4,60,1,15,12,5,3,1,1,1,0,1,1,2,28,0,20,1,1,20,85,50,85,50,85,20,85,30,85,60,85,85,80,85,1,1
2199,4,4,5,1,2,2,8,24,6,10,0,1,2,6,1,1,0,1,1,1,5,0,40,100,70,60,100,30,1,40,100,40,50,100,70,100,50,40,100,100,100,1
