Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
1493,0,85,50,70,85,85,40,70,60,60,40,70,50,100,60,50,100,60,70,60
1494,0,70,70,70,70,85,15,40,60,85,30,15,85,85,85,50,85,70,70,85
1495,0,50,15,15,15,50,60,70,40,50,1,70,40,60,50,70,70,50,100,15
1496,0,19,100,86,100,100,41,16,70,100,30,42,70,100,100,16,40,100,88,100
1497,0,35,90,80,60,95,25,10,65,95,30,50,95,55,95,35,80,90,75,80
1498,0,25,70,40,40,100,60,40,70,100,10,60,100,100,100,10,100,100,100,60
1499,0,0,0,60,50,50,50,50,50,85,50,15,50,85,50,0,60,50,50,15
1500,0,100,50,70,100,100,100,100,100,100,70,70,100,100,50,100,100,100,50,100
1501,0,15,70,60,100,100,50,85,70,70,85,70,40,100,100,100,100,1,100,1
1502,0,60,60,40,50,70,30,30,60,60,40,50,50,60,50,50,60,60,60,60
1503,0,30,60,86,95,66,4,30,71,100,1,36,59,55,100,2,95,60,100,25
1504,0,100,15,15,15,70,1,85,60,1,15,50,60,100,85,40,100,15,50,1
1505,0,50,1,1,1,70,70,85,60,30,30,100,50,100,85,85,100,15,50,1
1506,0,50,85,30,1,70,60,100,85,60,40,60,85,50,85,70,100,50,100,40
1507,0,60,50,50,50,100,50,50,50,85,50,70,70,100,85,40,100,70,85,60
1508,0,50,50,40,40,50,60,75,1,50,25,50,65,85,90,65,90,50,90,15
1509,0,60,30,30,15,60,70,85,60,50,50,70,50,100,85,70,85,30,50,1
1510,0,84,100,80,79,69,83,71,80,83,71,70,67,81,70,81,83,84,95,84
1511,0,70,86,51,50,69,61,86,51,100,41,30,17,100,83,52,50,100,86,60
1512,0,50,50,40,1,100,1,60,30,50,1,40,40,100,50,1,15,0,100,50
1513,0,1,50,60,61,50,40,31,66,86,12,50,50,40,60,15,40,51,92,70
1514,0,50,41,61,41,85,86,86,85,15,61,85,30,99,85,85,85,16,99,60
1515,0,50,50,30,30,70,60,70,50,70,60,60,50,100,100,60,100,50,50,30
1516,0,60,50,50,30,60,70,50,70,50,70,60,60,70,60,60,60,15,60,50
1517,0,60,40,30,15,70,40,85,40,15,30,15,40,100,70,85,85,15,60,1
1518,0,1,85,70,70,60,60,30,40,85,15,40,60,50,70,15,70,85,100,60
1519,0,15,100,50,60,85,70,1,85,100,30,85,85,60,85,1,70,85,100,85
1520,0,60,70,60,70,70,60,70,85,85,40,60,40,85,70,60,85,70,85,60
1521,0,75,71,85,85,61,41,17,50,50,1,42,51,75,50,1,16,50,51,69
1522,0,30,1,30,50,85,50,40,70,50,30,40,30,50,100,50,85,50,100,1
1523,0,71,28,30,31,50,69,85,40,50,15,69,50,98,60,96,99,51,71,31
1524,0,60,70,70,70,70,15,70,60,70,60,70,70,70,70,60,70,70,85,70
1525,0,13,70,51,32,97,2,77,67,54,50,71,87,87,74,1,98,58,83,86
1526,0,85,85,1,40,40,15,85,30,1,50,30,40,85,85,70,85,15,60,1
1527,0,50,50,50,1,60,40,50,50,60,50,50,1,50,50,50,60,50,70,60
1528,0,30,50,1,15,60,85,85,70,50,30,100,15,30,15,30,100,998,85,30
1529,0,84,50,82,85,60,31,29,51,50,50,30,50,84,51,51,50,50,70,61
1530,0,30,85,60,40,85,40,70,50,100,50,50,50,85,100,50,85,85,100,85
1531,0,51,21,31,75,51,16,55,50,51,28,9,21,51,100,9,76,50,69,59
1532,0,85,1,15,30,85,85,85,60,1,15,70,1,85,85,60,85,1,60,30
1533,0,999,60,999,60,70,85,999,85,60,60,70,70,85,85,40,85,50,85,85
1534,0,1,30,50,40,60,15,1,40,50,30,30,40,40,60,1,60,50,85,50
1535,0,50,50,50,50,49,59,50,50,50,40,50,55,80,50,50,10,50,70,90
1536,0,85,1,60,40,100,60,60,40,50,30,60,50,85,50,15,65,50,70,1
1537,0,16,50,16,16,50,41,30,50,79,1,50,40,41,50,16,70,51,78,15
1538,0,100,50,40,71,86,61,85,72,51,70,61,52,100,71,62,85,32,84,60
1539,0,100,100,70,40,100,15,60,50,100,0,15,100,100,100,60,15,100,100,0
1540,0,70,100,80,85,75,70,60,50,100,50,70,80,100,100,40,80,100,100,30
1541,0,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15
1542,0,31,39,42,67,51,52,58,62,78,29,49,49,23,49,47,72,68,85,35
1543,0,50,50,50,50,50,50,50,30,50,30,50,50,50,50,50,85,50,50,50
1544,0,50,40,50,70,50,60,60,60,60,60,50,50,70,70,50,85,50,60,40
1545,0,85,85,30,1,70,1,70,50,85,1,15,85,100,100,50,85,70,50,15
1546,0,50,15,1,15,50,70,33,15,81,16,50,49,85,51,67,82,94,50,1
1547,0,30,100,100,85,100,30,40,70,100,30,85,100,70,100,1,85,100,100,60
1548,0,50,85,70,100,100,70,60,85,85,70,85,85,85,85,50,100,70,100,85
1549,0,998,998,998,60,60,70,70,60,1,60,70,1,100,70,999,100,40,70,15
1550,0,15,60,15,85,100,1,60,1,50,1,50,100,100,85,1,85,50,100,100
1551,0,60,51,56,70,59,51,51,69,84,31,66,50,87,66,45,81,79,69,41
1552,0,61,47,52,49,72,50,60,71,62,42,52,50,70,72,51,86,52,73,32
1553,0,50,50,50,50,85,40,50,50,50,50,50,50,100,50,50,85,50,60,50
1554,0,60,70,85,50,60,30,50,50,100,50,85,60,70,85,50,85,70,100,50
1555,0,52,98,74,86,96,31,29,82,51,29,53,51,51,50,4,72,16,97,90
1556,0,1,95,100,85,85,31,30,60,100,1,30,95,40,95,1,71,100,100,85
1557,0,60,70,40,70,70,60,70,60,60,60,60,30,85,70,40,85,50,70,60
1558,0,39,49,49,49,50,51,45,51,50,10,51,35,51,50,45,49,49,70,49
1559,0,51,90,70,95,100,41,41,80,86,61,61,86,85,85,31,80,90,86,70
1560,0,15,100,85,90,90,1,30,60,100,10,15,100,60,90,1,85,100,100,90
1561,0,10,75,60,50,65,20,10,50,100,25,50,75,30,85,1,65,100,100,75
1562,0,50,50,40,50,85,50,85,70,50,50,50,50,85,50,60,70,50,70,50
1563,0,17,51,51,32,16,31,51,91,16,63,31,6,85,36,1,60,1,17,52
1564,0,1,90,90,70,100,50,30,80,100,30,40,70,70,100,10,100,100,100,80
1565,0,30,50,50,70,35,50,60,50,50,30,30,50,100,85,50,30,50,85,85
1566,0,0,90,62,44,50,51,14,73,99,67,5,2,61,21,93,37,51,57,99
1567,2,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,100,50,60,50
1568,0,1,50,50,40,50,1,1,70,80,1,30,50,1,60,1,90,100,100,100
1569,0,12,40,51,17,50,60,51,17,51,16,50,1,50,50,15,96,22,40,2
1570,0,30,90,50,70,65,40,50,70,85,30,50,70,70,70,10,70,80,90,70
1571,0,0,70,96,0,70,40,45,0,99,60,45,70,70,70,0,90,95,98,85
1572,0,1,50,55,55,55,1,1,50,50,1,45,45,50,50,1,1,50,50,55
1573,0,52,15,1,12,50,70,88,50,50,40,85,24,85,70,90,71,50,69,1
1574,0,49,50,39,40,51,50,63,65,51,38,51,69,69,83,40,70,51,85,17
1575,0,15,85,85,70,70,85,1,100,100,15,70,85,85,85,30,100,100,100,85
1576,0,50,40,60,100,40,20,30,30,60,20,20,20,50,50,50,70,60,85,15
1577,0,85,70,60,85,100,85,70,85,40,70,85,85,100,85,60,85,40,100,60
1578,0,30,60,70,50,70,70,40,70,50,40,50,50,50,50,50,60,50,85,60
1579,0,30,60,1,85,50,30,1,40,1,40,1,30,30,50,50,70,1,85,30
1580,0,1,15,1,40,100,70,85,70,40,15,85,40,100,85,85,50,40,0,1
1581,0,15,70,60,70,60,15,15,15,50,15,40,40,60,50,1,60,40,85,40
1582,0,72,70,88,74,87,69,32,76,50,31,62,54,94,75,19,75,30,85,50
1583,0,76,50,15,30,70,15,76,40,50,1,50,58,94,60,51,79,50,85,50
1584,0,60,60,30,60,60,40,60,40,60,30,70,40,85,100,60,85,50,40,30
1585,0,15,100,100,79,85,30,15,80,100,3,70,85,70,94,1,80,98,94,94
1586,0,1,85,85,85,50,70,30,70,100,1,30,50,30,50,30,70,85,100,85
1587,0,4,23,30,51,49,41,67,56,88,6,52,42,49,50,44,79,71,83,2
1588,0,32,100,85,86,84,86,98,72,87,31,98,86,86,99,3,85,71,92,86
1589,0,85,1,1,1,50,84,84,69,51,16,99,50,85,50,99,99,51,99,1
1590,0,50,70,70,70,85,40,40,70,60,60,70,85,100,85,40,85,60,85,85
1591,0,50,85,100,85,50,70,15,70,70,60,60,70,60,85,50,70,60,85,85
1592,0,50,50,15,2,50,70,50,30,50,1,50,50,50,50,75,85,50,50,1
1593,0,50,40,30,70,50,30,30,40,100,15,50,40,100,50,50,100,15,85,1
1594,0,65,80,55,75,60,60,65,55,85,65,45,40,90,95,35,85,60,90,30
1595,0,50,50,60,50,50,60,60,60,60,40,60,50,60,50,40,70,50,100,40
1596,0,15,70,60,50,60,40,40,60,85,40,30,70,40,85,50,85,70,85,85
1597,0,3,51,1,15,60,31,50,40,99,1,30,51,17,98,49,97,84,71,2
1598,0,69,59,54,68,50,58,43,62,71,52,52,59,94,56,53,65,59,78,57
1599,0,62,1,15,1,1,45,31,30,82,1,85,60,85,90,35,60,75,60,1
1600,0,40,86,41,41,85,71,84,84,85,70,61,15,84,85,41,85,85,85,15
1601,0,100,85,85,70,100,70,70,85,50,100,60,1,100,100,85,100,50,85,85
1602,0,60,40,15,40,70,70,85,85,50,60,70,15,70,50,85,85,50,70,1
1603,0,100,70,40,60,100,70,70,70,60,30,85,70,100,85,15,100,50,70,50
1604,0,100,51,50,98,98,41,64,100,100,62,33,100,72,83,50,18,97,50,100
1605,0,60,70,80,40,60,70,10,50,50,1,50,40,70,100,1,20,50,80,60
1606,0,100,87,85,50,100,30,85,49,100,50,100,100,100,100,50,100,100,100,30
1607,0,20,100,70,50,95,51,20,60,100,15,60,60,55,70,15,45,100,65,100
1608,0,50,15,4,16,50,75,93,51,40,50,78,32,90,50,80,85,14,33,1
1609,0,99,86,86,60,85,85,60,85,85,85,85,70,100,85,61,85,70,86,86
1610,0,1,30,40,30,50,30,60,50,50,1,40,50,50,50,15,60,50,50,40
1611,0,51,18,63,70,85,44,31,57,70,56,16,50,51,50,37,65,50,42,60
1612,0,50,50,40,30,50,50,70,70,50,30,50,50,50,50,1,70,50,85,50
1613,0,88,25,44,19,85,62,99,60,71,30,72,74,98,84,72,86,73,69,18
1614,0,50,30,15,60,70,30,60,70,30,30,30,15,85,85,30,85,1,85,1
1615,0,100,40,50,40,50,70,100,30,50,15,50,50,100,100,100,100,50,50,1
1616,0,51,94,84,60,93,16,30,50,100,16,30,70,85,100,1,70,50,85,99
1617,0,40,85,85,70,85,50,30,70,85,40,50,50,50,85,1,60,85,70,85
1618,0,1,100,100,51,100,41,1,41,100,1,50,50,30,100,1,50,100,100,100
1619,0,51,42,71,16,51,40,16,70,70,31,31,50,16,50,30,85,71,86,50
1620,0,31,85,31,50,70,50,41,71,79,31,51,61,65,70,16,85,71,70,41
1621,0,42,51,16,31,70,61,72,85,53,17,63,71,99,72,31,73,53,69,52
1622,0,100,100,15,85,85,85,100,100,100,85,85,85,100,100,100,100,85,100,1
1623,0,73,71,54,72,70,41,60,52,71,29,61,3,86,60,30,60,66,71,71
1624,0,97,51,16,61,50,40,79,71,15,51,63,51,99,70,86,86,41,78,17
